follow her advice	彼女の助言に従う
restore the old building	古い建物を修復する
unite the Arab world	アラフ?世界を団結させる
Look before you leap.	跳ふ?前によく見よ
exaggerate the size of the fish	魚の大きさを誇張する
conquer the world	世界を征服する
The snow will melt soon.	雪は間もなく溶けるた?ろう
invade Poland	ホ?ーラント?に侵入する
modify the plan	計画を修正する
scatter toys on the floor	床におもちゃをは?らまく
undergo great changes	大きな変化を経験する
evaluate the student's ability	学生の能力を評価する
bend down to pick up the can	カンをひろおうと身をかか?める
assist in my father's business	父の仕事を手伝う
a girl screaming for help	助けを求め悲鳴をあけ?る少女
gaze at the stars	星を見つめる
rub the skin with a towel	タオルて?肌をこする
polish the shoes	靴を磨く
classify man as an animal	人間を動物として分類する
assert that it is impossible	それは不可能た?と主張する
grab her by the hair	彼女の髪をつかむ
fold a piece of paper	紙を折りたたむ
sweep the floor	床を掃く
whisper in her ear	彼女の耳にささやく
imitate his voice	彼の声をまねる
sign a contract with the Dodgers	ト?シ?ャース?との契約にサインする
become a burden on him	彼の重荷になる
have access to the Internet	インターネットを利用て?きる
discover treasure	財宝を発見する
the Tokyo stock market	東京株式市場
public facilities	公共施設
a large sum of money	多額のお金
a man of high rank	高い地位の人
a Western democracy	西洋の民主国家
prepare for an emergency	緊急事態に備える
a protest against the Vietnam War	ヘ?トナム戦争に対する抗議
the tracks of a lion	ライオンの足跡
a vehicle for communication	意思伝達の手段
healthy daily routine	健康的ないつもの日課
write really good stuff	本当によいものを書く
sit in the front row	最前列に座る
a water wheel	水車
at the dawn of the 21st century	21世紀の夜明けに
social welfare	社会福祉
see life from a new perspective	新しい見方て?人生を見る
his enthusiasm for soccer	彼のサッカーに対する情熱
blind faith in technology	技術への盲目的信頼
a well-paid occupation	給料のよい職業
a witness to the accident	事故の目撃者
the kingdom of Denmark	テ?ンマーク王国
There's no English equivalent to haiku.	俳句に相当するものは英語にない
achieve the objective	目標を達成する
put the plates in a pile	皿を積み重ねて置く
find shelter from the cold	寒さから逃れる場所を見つける
trial and error	試行錯誤
It's a great honor to work here.	ここて?働けるのは大変名誉て?す。
defend a territory	なわは?りを守る
a window frame	窓わく
cross the Russian border	ロシア国境を越える
according to official statistics	公式の統計によると
a private enterprise	民間企業
pay school fees	授業料を払う
carry a heavy load	重い荷物を運ふ?
world grain production	世界の穀物生産高
a review of the law	その法律の再検討
prejudice against women	女性に対する偏見
put a strain on the heart	心臓に負担をかける
fall into a trap	わなにはまる
have a quick temper	すく?かっとなる気性て?ある
a black slave	黒人の奴隷
a knife wound	ナイフの傷
an increase in the divorce rate	離婚率の増加
the melody of the tune	その曲のメロテ?ィー
interaction between teachers and students	先生と生徒の交流
the science faculty	理学部
the average life span	平均寿命
feel disgust at the picture	その写真に嫌悪感を抱く
the worship of God	神に対する崇拝
the latest version of the car	その車の最新の型
have no parallel in history	歴史上匹敵するものか?ない
sink below the horizon	地平線の下に沈む
friends and acquaintances	友人と知人
avoid traffic jam	交通渋滞を避ける
poison gas	毒カ?ス
the Japanese constitution	日本国憲法
business administration	企業の経営
a city full of charm	魅力にあふれた都市
sense organs	感覚器官
the prey of the lion	ライオンのえし?き
a joint venture with Taiwan	台湾との共同事業
Japanese children study harder than their American counterparts.	日本の子供はアメリカの子供よりよく勉強する
carry out a dangerous mission	危険な任務を果たす
inquiry into the cause of the fire	火事の原因に関する調査
the Academy Award for Best Picture	アカテ?ミー最優秀作品賞
a long strip of paper	長い紙切れ
be in economic distress	経済的に苦難におちいる
a flock of white sheep	白いヒツシ?の群れ
keep the beer in the shade	ヒ?ールを日陰に置く
a stereotype of Americans	アメリカ人に関する型にはまったイメーシ?
a lawyer and his clients	弁護士とその依頼人
the factory's output	その工場の生産高
praise the Lord	神をたたえる
follow social conventions	社会の慣習に従う
discover a gold mine	金鉱を発見する
a traditional Japanese craft	日本の伝統工芸
the core of the problem	問題の核心
die of a stroke	脳卒中て?死ぬ
America's last frontier	アメリカ最後の辺境
set him apart from his peers	彼を仲間から離す
a fishing vessel	漁船
zero gravity in space	宇宙の無重力状態
a question of medical ethics	医学の倫理の問題
a railroad terminal	鉄道の終点
swim against the tide	潮流に逆らって泳く?
child abuse	児童虐待
the small incidents of everyday life	日常生活の小さな出来事
a space science laboratory	宇宙科学研究所
analysis of DNA	DNAの分析
cross the American continent	アメリカ大陸を横断する
national health insurance	国民健康保険
a construction site for a new hotel	新しいホテルの建設用地
live in poverty	貧乏な生活をする
food shortage	食糧不足
finacial aid to Iraq	イラクへの財政的援助
the only exception to the rule	その規則の唯一の例外
work for low wages	安い賃金て?働く
knowledge and wisdom	知識と知恵
pay taxes on the land	その土地にかかる税金を払う
have no leisure time for sports	スホ?ーツをする暇か?ない
the language barrier	言葉の壁
fall into the same category	同し?範ちゅうに属する
the family as a social unit	社会の単位としての家族
the restaurant's reputation	そのレストランの評判
the virtue of hard work	勤勉の美徳
have the courage to tell the truth	真実を話す勇気を持つ
feel sympathy for the victim	犠牲者に同情する
a labor union	労働組合
sign important documents	重要書類にサインする
"a 10,000-volume library"	蔵書1万冊の図書館
a religious ceremony	宗教的儀式
the beginning of a new era	新しい時代の始まり
settle international disputes	国際紛争を解決する
land suitable for agriculture	農業に向いた土地
the history of mankind	人類の歴史
mass murder	大量殺人
landscape painting	風景画
reach the final destination	最終目的地に着く
tell a fairy tale	おとき?話をする
political reform	政治改革
muscles and bones	筋肉と骨
the future prospects	将来の見通し
run a giant corporation	巨大企業を経営する
a former British colony	元イキ?リスの植民地
a quarrel with my wife	妻との口論
an intellectual profession	知的職業
have a high fever	高熱を出している
a three-minute pause	3分間の休止
a room with little furniture	家具の少ない部屋
white privilege	白人の特権
economic prosperity	経済的繁栄
a musical genius	音楽の天才
plant pumpkin seeds	カホ?チャの種をまく
symptoms of cancer	カ?ンの症状
his greatest merit	彼の最大の長所
destroy the ozone layer	オソ?ン層を破壊する
a clue to the mystery	その謎を解く手か?かり
Truth is stranger than fiction.	事実は小説よりも奇なり
the city's business district	その都市の商業地方
spend two years in prison	刑務所て?2年過こ?す
my traveling companion	私の旅行仲間
tobacco company executives	タハ?コ会社の重役たち
a strong sense of justice	強い正義感
the check-in procedure	チェック・インの手続き
the sun's rays	太陽光線
go to heaven	天国にのほ?る
lead a life of luxury	せ?いたくな生活を送る
oxygen in the air	空気中の酸素
lack of funds	資金不足
the theme of the book	その本の主題
the boundary between two countries	二国間の境界
the ambition to be a writer	作家になりたいという熱望
the weather forecast	天気予報
study social psychology	社会心理学を研究する
at intervals of ten minutes	10分の間隔て?
the International Olympic Committee	国際オリンヒ?ック委員会(IOC)
a physician at the hospital	その病院の医者
take a book from the shelf	たなから本を取る
a deep affection for animals	動物への深い愛情
a candidate for President	大統領候補
an atomic bomb	原子爆弾
give top priority to safety	安全を最優先する
an obstacle to communication	コミュニケーションの障害
feel an impulse to shout	さけひ?たい衝動を感し?る
relieve tension	緊張を緩和する
a Native American tribe	アメリカ先住民の部族
cut the defense budget	防衛予算を削減する
an ancient Greek temple	古代キ?リシャの神殿
joy and sorrow	喜ひ?と悲しみ
a communication satelite	通信衛星
a deep insight into life	人生に対する深い洞察
have a bad cough	ひと?いせきか?出る
decide your fate	君の運命を決定する
a training scheme for pilots	ハ?イロットの訓練計画
an insult to women	女性に対する侮辱
the inhabitants of the country	その国の住民
burn fossil fuels	化石燃料を燃やす
the motive for the killing	殺しの動機
human instinct to fight	人間の闘争本能
the legend of Robin Hood	ロヒ?ン・フット?の伝説
the Roman Empire	ローマ帝国
live in the suburbs of London	ロント?ンの郊外に住む
study modern architecture	現代建築を学ふ?
love and passion	愛と情熱
a horror movie	恐怖映画
persuade him by logic	彼を論理て?説得する
two dozen eggs	2タ?ースの卵
a good harvest of rice	米の豊かな収穫
the illusion that Japan is safe	日本か?安全た?という幻想
face economic hardship	経済的苦難に直面する
the first voyage of Columbus	コロンフ?スの最初の航海
the editor of a fashion magazine	ファッション雑誌の編集長
have no option	選択の自由か?ない
industry and commerce	工業と商業
the mechanism of a clock	時計の仕組み
Anthropologists study people.	人類学者は人間を研究する。
the crew of the space shuttle	スヘ?ースシャトルの乗組員たち
Greek tragedy	キ?リシア悲劇
put the meat in the refrigerator	肉を冷蔵庫に入れる
pay the bus fare	ハ?スの運賃をはらう
Pay the debt!	借金を返せ!
marry without my parents' consent	親の同意なしに結婚する
the components of the body	人体の構成要素
plant wheat and corn	小麦とコーンを植える
modern English usage	現代英語の語法
throw away garbage	コ?ミを投け?捨てる
a terrible famine in Africa	アフリカのひと?い飢饉
mental fatigue	精神疲労
animals in danger of extinction	絶滅の危機にある動物たち
take money out of the purse	財布からお金を取り出す
English folk music	イキ?リスの民族音楽
the population explosion	人口爆発
a large portion of your salary	給料の大部分
marine organisms	海洋生物
The Merchant of Venice	ウ?ェニスの商人(シェイクスヒ?アの戯曲)
ancient Greek myths	古代キ?リシャの神話
a priest in the church	教会の神父
weddings and funerals	結婚式と葬式
protect wildlife	野生生物を保護する
the US Congress	合衆国議会
a boat in Tokyo bay	東京湾に浮かふ?船
the death penalty	死刑
Japanese cultural heritage	日本の文化遺産
American cultural diversity	アメリカの文化的多様性
the thumb of my left hand	私の左手の親指
feel deep grief over his death	彼の死に深い悲しみを感し?る
put a letter in a pink envelope	ヒ?ンクの封筒に手紙を入れる
discrimination against women	女性に対する差別
the AIDS virus	エイス?のウイルス
the Statue of Liberty	自由の女神像
a professional athlete	フ?ロの運動選手
a rock'n'roll pioneer	ロックン・ロールの先駆者
personality traits	人格の特徴
strong family bonds	家族の強いきす?な
go to the grocery store	食料品店に行く
the Apollo astronauts	アホ?ロの宇宙飛行士
speak the local dialect	地元の方言て?話す
write a newspaper column	新聞のコラムを書く
today's youngsters	今日の子供達
a tree in the yard	庭の木
the findings of the study	その研究による発見
British military strategy	イキ?リスの軍事戦略
his heart and lungs	彼の心臓と肺
beat an opponent	敵を倒す
a religious ritual	宗教的な儀式
the outcome of the race	レースの結果
conservation groups	環境保護団体
whales and other sea mammals	鯨なと?の海の哺乳類
NASA's space telescope	NASAの宇宙望遠鏡
refugee camps in Palestine	ハ?レスチナの難民キャンフ?
break the dress code	服装規則を破る
the flavor of fresh fruit	新鮮なフルーツの風味
the particles of light	光の粒子
24-hour nursing	24時間看護
commit suicide by hanging	首つり自殺をする
the natural habitat of bears	クマの自然生息地
bullying in schools	学校のいし?め
Dinosaurs died out.	恐竜は絶滅した
the New York City Council	ニューヨーク市議会
age and gender	年令と性別
have open heart surgery	心臓切開手術を受ける
technological innovation	技術革新
high-protein food	高タンハ?ク質の食へ?物
enough sleep and nutrition	十分な睡眠と栄養
be caught in a spider's web	クモの巣にかかる
reduce carbon dioxide emissions	二酸化炭素の排出を減らす
monkeys and apes	猿と類人猿
a single DNA molecule	一つのDNA(分子)
the smell of sweat	汗の臭い
a heart transplant operation	心臓移植の手術
a sand castle	砂の城
a popular cartoon character	人気マンカ?のキャラクター
the tip of my finger	指の先先端動~の先に付ける
raise sheep and cattle	羊と牛を育てる
feel guilty about his death	彼の死に罪の意識を感し?る
play a vital role	重要な役割を果たす
a rough sketch	大さ?っは?なスケッチ
contemporary art	現代の美術
the annual meeting	年に一度の集会
become accustomed to driving	車の運転に慣れる
steady economic growth	着実な経済成長
a very dull job	とても退屈な仕事
a keen eye for art	芸術に対する鋭い目
wear loose clothes	ゆったりとした服を着る
the delicate balance of nature	自然界の微妙なハ?ランス
internal medicine	内科
wear casual clothes	気楽な服装をする
mature adults	成熟した大人
give a concrete example	具体的な例をあけ?る
an awful mistake	ひと?い失敗
a senior member of the club	クラフ?の先輩の部員
part of an overall plan	全体的な計画の一部
tight jeans	きついシ?ーンス?
be apt to forget it	そのことを忘れやすい
genuine love	真の愛情
a modest dress	控えめな服装
an intimate relationship	親密な関係
minimum effort	最小の努力
sophisticated computer technology	高度なコンヒ?ュータ技術
for some obscure reason	はっきりとわからない理由て?
a bitter experience	苦い経験
expressions peculiar to English	英語特有の表現
a passive attitude	消極的な態度
different ethnic groups	異なる民族集団
a person of noble birth	高貴な生まれの人
make a vain effort	むた?な努力をする
kill innocent people	罪の無い人々を殺す
the underlying cause	根本的な原因
see a faint light	かすかな光か?見える
be relevant to the question	その問題に関係か?ある
I am inclined to believe him.	彼を信し?たい気か?する
an awkward silence	気ます?い沈黙
his brilliant talent	彼の輝かしい才能
make a desperate effort	必死の努力をする
a refreshing drink	さわやかな飲み物
a miserable life	惨めな生活
a substantial number of people	多くの人々
be consistent with the theory	理論と一致する
survive the fierce competition	激しい競争を生き残る
have vivid memories	鮮やかな記憶
a dense forest	密林
I'm thrilled to hear your voice.	あなたの声?聞けてとてもうれしい
her inner self	彼女の内なる自分
She is very fond of reading.	彼女は読書か?好きた?
precisely at noon	ちょうと?正午に
"She was cooking. Meanwhile, I was drinking."	彼女は料理をしていた。その間、私は酒を飲んて?いた
disappear altogether	完全に消滅する
Have you seen him lately?	最近彼に会いましたか
barely survive the war	かろうし?て戦争を生き延ひ?る
I could scarcely believe it.	ほとんと?信し?られなかった
"You're an adult, so act accordingly."	君は大人なのた?からそれ相応に行動しなさい
deliberately break the law	わさ?と法律を破る
feel lonely in the crowd	人こ?みて?孤独た?と感し?る
precious jewels	貴重な宝石
a minor problem	小さい問題
be isolated from the world	世界から孤立している
a kind and generous man	親切て?気前のよい人
tropical rain forests	熱帯雨林
be reluctant to talk about the past	過去について話したか?らない
a vague feeling of uneasiness	漠然とした不安感
the principal cities of Europe	ヨーロッハ?の主要な都市
numerous species of birds	たくさんの種の鳥
move to a small rural town	小さな田舎の町に引っ越す
temporary loss of memory	一時的な記憶喪失
artificial intelligence	人工知能
make visible progress	目に見える進歩をとけ?る
eat raw meat	生の肉を食へ?る
live in a remote village	へんひ?な村に住む
need urgent action	緊急の行動を必要とする
tell silly jokes	馬鹿な冗談を言う
a striking contrast	いちし?るしい対照
provide adequate food	十分な食料を供給する
a man of extraordinary talent	なみはす?れた才能の持ち主
the odd couple	おかしな二人
an abstract concept	抽象的な概念
mutual understanding	相互の理解
excessive drinking	過度の飲酒
be ashamed of my past	自分の過去か?恥す?かしい
a tremendous amount of energy	とてつもない量のエネルキ?ー
Death is inevitable.	死は避けられない
pure gold	純金
a stable condition	安定した状態
be indifferent to politics	政治に無関心た?
children's aggressive behavior	子供の攻撃的な行動
the ultimate goal	究極の目標
a quiet shy girl	静かて?内気な女の子
solar energy	太陽エネルキ?ー
a profound meaning	深い意味
a subtle difference	微妙な違い
a conservative politician	保守的な政治家
a brave young soldier	勇敢な若い兵士
intense desire	強烈な欲望
be hostile to foreigners	外国人に敵意を持つ
acid rain	酸性雨
cruel treatment of animals	動物に対する残酷なしうち
rational thought	理性的な思考
the initial stages of development	発達の最初の段階
rigid rules	厳格な規則
the linguistic ability of children	子供の言語能力
make crucial decisions	重大な決断をくた?す
verbal communication	言葉によるコミュニケーション
an optimistic view of the future	将来に関する楽観的な見方
have a flexible mind	柔軟な頭を持っている
I'm grateful for your help.	君の助けに感謝している
a lively conversation	生き生きとした会話
an overwhelming majority	圧倒的な多数
Water is indispensable to life.	水は命にとって不可欠た?
a selfish attitude	利己的な態度
an ugly duckling	みにくいアヒルの子
racial differences	人種の違い
a prominent scientist	有名な科学者
an immense amount of information	莫大な量の情報
the Federal Government	連邦政府
a ridiculous error	は?かけ?た間違い
an imaginary country	架空の国
an imaginative writer	想像力豊かな作家
every trouble imaginable	想像しうるあらゆる困難
the harsh realities of life	きひ?しい人生の現実
a random choice	無作為な選択
a helpless baby	無力な赤ん坊
up-to-date fashions	最新の流行
liberal politics	自由主義の政治
the period prior to the war	戦争より前の時代
do moderate exercise	適度な運動をする
speak fluent French	流ちょうなフランス語を話す
an elaborate plan of escape	念入りな脱走計画
an incredible story	信し?られない話
radical changes	根本的な変化
manual work	手を使う仕事
physically handicapped children	身体障害のある子供たち
be deaf in one ear	片方の耳か?聞こえない
a medieval castle	中世の城
protect the ecological system	生態系を保護する
a mobile society	流動的な社会
be ignorant of the fact	その事実を知らない
I can't say definitely yes.	はっきりイエスとは言えない
virtually every woman	ほとんと?すへ?ての女性
"approximately 10,000 years ago"	およそ1万年前
die instantly	即死する
There's literally nothing there.	そこには文字通り何もなかった
the literal meaning of the word	その語の文字通りの意味
literary history	文学の歴史
literate people in India	読み書きのて?きるイント?人
a seemingly impossible task	一見不可能な仕事
speak frankly	率直に話す
regardless of age	年令に関係なく
thoroughly enjoy the party	ハ?ーティを徹底的に楽しむ
submit to authority	権威に服従する
be tempted to call her	彼女に電話をかけたくなる
The president will resign soon.	社長は間もなく辞任する
conform to the rules	ルールに従う
embrace a new idea	新しい考えを受け入れる
assemble small parts	小さい部品を組み立てる
be dedicated to the work	仕事に身をささけ?ている
advocate peace	平和を主張する
a thriving economy	繁栄する経済
provoke a reaction	反応を引き起こす
Circumstances dictate that I do so.	状況か?私のそうせよと要求する
exploit natural resources	天然資源を開発する
surrender to the US army	アメリカ軍に降参する
accurately reproduce the sound	正確に音を再生する
retreat to a safe distance	安全な距離まて?退く
swell like a balloon	風船のようにふくらむ
Trees shed their leaves.	木々か?葉を落とす
the long and winding road	長く曲か?りくねった道
cite two examples	二つの例を引き合いに出す
digest a lot of food	たくさんの食物を消化する
skip lunch	昼食を抜く
be bound by tradition	伝統に縛られている
dissolve sugar in water	水に砂糖を溶かす
implement the secret plan	秘密の計画を実行する
steer the ship carefully	注意深く船を操縦する
congratulate you on your success	君の成功を祝福する
designated areas	指定された区域
violate the law	法律に違反する
He is presumed dead.	彼は死んた?と推定されている
recruit two new staff	二人の新しいスタッフを入れる
His visit will coincide with mine.	彼の訪問は私のと重なる
be haunted by the fear of death	死の恐怖につきまとわれる
What will displace oil?	何か?石油にとって代わるのか
The shirts will shrink.	そのシャツは縮む
betray a good friend	親友を裏切る
A group comprises ten members.	ク?ルーフ?は10人から構成される
indulge in drinking	飲酒にふける
penetrate deep into the jungle	シ?ャンク?ルに奥深く入り込む
a devastating effect on nature	自然に対する壊滅的な影響
plunge into the water	水に突っ込む
thrust the money into his pocket	彼のホ?ケットにお金を押し込む
contradict what he said	彼の言ったことと矛盾する
prescribe medicine	薬を処方する
oppress small nations	小国をしいたけ?る
cherish a dream	夢を胸に抱く
illuminate the road	道を照らす
trigger a war	戦争の引き金を引く
commute from Chiba to Tokyo	千葉から東京に通勤する
induce deep sleep	深い眠りを誘う
utilize the Internet	インターネットを利用する
The stick snapped.	棒か?ホ?キンと折れた
donate blood and organs	血液や臓器を提供する
a newly hatched chick	かえったは?かりのヒヨコ
enclose the garden with a fence	垣根て?庭を囲む
the prevailing view	広まっている考え方
sigh deeply	深くため息をつく
Oil leaked from the tank.	油か?タンクから漏れた
compel him to speak English	彼に英語を話すことを強制する
be crushed by pressure	フ?レッシャーに押しつふ?される
cannot comprehend his English	彼の英語を理解て?きない
negotiate for peace	和平交渉をする
persist throughout life	生涯を通し?て残る
multiply by five	5倍に増える
conceive of life as a comedy	人生を喜劇と考える
compensate for the loss	損失を埋め合わせる
suspend the project	計画を中止する
stir emotions	感情をかき立てる
soak a towel in hot water	湯にタオルを浸す
refine techniques	技術に磨きをかける
arouse her curiosity	彼女の好奇心をかきたてる
Speech precedes writing.	話し言葉は書き言葉に先行する
enforce the new law	新しい法律を施行する
disguise anger with a smile	笑顔て?怒りを隠す
render the data useless	テ?ータを役に立たなくする
mount the engine in the car	車にエンシ?ンをすえつける
anticipate the future	未来を予想する
crawl into the bed	ヘ?ット?まて?はって進む
pray for a sick child	病気の子供のために祈る
dispose of the waste	廃棄物を処理する
refrain from smoking	タハ?コを吸うのをひかえる
accumulate data	テ?ータを蓄積する
mend the roof	屋根を修理する
revise the plan	計画を修正する
scratch your back	君の背中をかく
drag a heavy bag to the car	車まて?重いかは?んを引きす?る
roar like a lion	ライオンのようにほえる
quote the Bible	聖書を引用する
when roses bloom	ハ?ラの花か?咲く頃
distort the facts	事実を歪曲する
A warm welcome will await you.	暖かい歓迎か?君を待つ
dread going to the dentist	歯医者に行くのを恐れる
enhance the quality of life	生活の質を向上させる
Art enriches our lives.	芸術は人生を豊かにする。
cling to tradition	伝統に固執する
surpass the US in technology	科学技術て?アメリカにまさる
suppress anger	怒りを抑える
portray natural beauty	自然の美を描く
the soaring price of oil	急上昇する石油の価格
drain water from the tank	タンクから水を排出する
glow in the dark	暗闇て?ホ?ーッと光る
migrate to California	カリフォルニアに移住する
exclaim in surprise	驚いて叫ふ?
exert a strong influence	強い影響を及ほ?す
fetch food from the kitchen	台所から食へ?物を取ってくる
accelerate economic growth	経済成長を促進する
dwell in the forest	森の中に住む
integrate immigrants into society	社会に移民を融けこませる
weep all night long	一晩中泣く
reassure the patient	患者を安心させる
condemn him as a killer	彼を人殺した?と非難する
restrain inflation	インフレを抑制する
resent being called foreigners	外人と呼は?れるのに腹をたてる
yell at the children	子供たちに大声て?叫ふ?
assess students' ability	学生の能力を評価する
carve her name on the desk	机に彼女の名前を彫る
halt global warming	地温暖化を止める
inspect the car for defects	欠陥か?ないか車を検査する
tackle environmental problems	環境問題に取り組む
omit the word	その言葉を省く
erect barriers	障壁を築く
frown on smoking	喫煙にまゆをひそめる
resume normal activities	ふた?んの活動を再開する
mold plastic products	フ?ラスチック製品を作る
can accommodate 800 people	800人を収容て?きる
erase the data	テ?ータを消す
be inferred from the passage	文章から答を推量することか?て?きる
revive the British economy	英国経済を生き返らせる
humiliate him before his friends	友達の前て?彼に恥をかかせる
rotate around the sun	太陽の周りを回る
disrupt their lives	彼らの生活をかき乱す
navigate by the stars	星によって進路を決める
flatter the teacher	先生におせし?を言う
discard the old habit	古い習慣を捨てる
incorporate the Internet into the class	教室にインターネットを取り入れる
overtake Japan in PC sales	ハ?ソコンの売り上け?て?日本を追い越す
supplement your diet	食事を補う
manipulate a computer	コンヒ?ュータを操作する
nourish a baby	赤ん坊に栄養を与える
squeeze an orange	オレンシ?をしほ?る
depict him as a hero	英雄として彼を描く
distract attention from the problem	問題から注意をそらす
disclose his secrets	彼の秘密を暴露する
enroll in medical school	医学部に入学する
nurture new technology	新しい科学技術を育てる
speculate about the future	将来のことを推測する
prolong life	寿命をのは?す
execute the murderer	殺人犯を処刑する
uncover new evidence	新しい証拠を明らかにする~を発掘する
tremble with fear	恐怖て?震える
seize the opportunity	チャンスをつかむ
abolish the old system	古い制度を廃止する
scold my son for being lazy	怠けたことて?息子をしかる
attain the goal	目標を達成する
utter a word	言葉を発する
flee from reality	現実から逃け?る
avoid offending others	他人を怒らせるのをさける
confess that I did it	私か?やったと告白する
postpone making a decision	決定するのを延期する
drift like a cloud	雲のようにたた?よう
weave cotton cloth	木綿の布を織る
install computers in classrooms	教室にコンヒ?ュータを備えつける
twist a wire	針金をねし?曲け?る
extract DNA from blood	血液からDNAを取り出す
bump into someone	人にふ?つかる
Don't despise poor people.	貧しい人を軽へ?つするな
tolerate pain	苦痛を我慢する
boast of being rich	金持ちなのを自慢する
Civilizations flourish.	文明か?栄える
disregard human rights	人権を無視する
Don't tease me.	私をからかうな
reinforce the belief	信念を強める
strive to survive	生き残るために努力する
coordinate muscle movements	筋肉の動きを協調させる
yawn when you are bored	退屈なときにあくひ?をする
a wide sphere of activity	幅広い活動範囲
a sequence of events	一連の事件
a large deposit in the bank	多額の銀行預金
an opinion poll	世論調査
act with caution	用心して行動する
feel a great rage	激しい怒りを感し?る
his formula for success	彼の成功の秘けつ
the plot of the movie	映画の筋
beyond the scope of science	科学の範囲を越えて
the socially accepted norm	社会的に認められた規範
the moral dimension of science	科学の道徳的側面
the Panama Canal	ハ?ナマ運河
Drinking is a curse to him.	酒は彼にとって災いのもとた?
a strange paradox	奇妙な逆説
nerve tissue	神経組織
the breakdown of the family	家庭の崩壊
take the initiative in conversation	会話て?主導権をにき?る
the social fabric of Japan	日本の社会組織
newspaper publicity	新聞広告
reach the summit	頂上に達する
increase blood circulation	血液の循環を高める
the modern plague of AIDS	エイス?という現代の疫病
write a letter in haste	あわてて手紙を書く
take a nap in the afternoon	午後にうたた寝をする
America and its allies	アメリカとその同盟国
the first draft of his novel	彼の小説の最初の草稿
a dramatic spectacle	劇的な光景
the major premise	大前提
a valuable asset	価値ある財産
suffer from jet lag	時差ホ?ケて?苦しむ
gene therapy	遺伝子療法
get a warm reception	温かいもてなしを受ける
elements and compounds	元素と化合物
the blessings of nature	自然の恵み
the sensation of flying	飛んて?いるような感覚
the worst economic recession	最悪の不況
His opinion is in accord with mine.	彼の意見は私と一致する
a positive outlook on life	人生に対する肯定的な考え方
every field of human endeavor	人間活動のあらゆる分野
war without mercy	情け容赦のない戦争
win fame and fortune	名声と富を得る
The room is a mess.	部屋の中か?めちゃくちゃた?
prevent the decay of the body	死体の腐敗を防く?
death with dignity	尊厳ある死
reach a compromise with him	彼との妥協に達する
a long drought in Africa	アフリカの長い干は?つ
give up in despair	絶望してあきらめる
give money to charity	慈善のために寄付する
help him with his luggage	彼か?荷物を持つのを手伝う
cherry blossoms	サクラの花
have no appetite.	食欲か?ない
love and hatred	愛と憎しみ
beauty and the beast	美女と野獣
believe a foolish superstition	馬鹿け?た迷信を信し?る
the ingredients of the cake	ケーキの材料
cotton thread	木綿の糸
a farmer with his plow	すきを持った農民(=plough)
invite guests to the feast	宴会に客を招待する
a seasonal transition	季節の移り変わり
the misery of war	戦争の悲惨さ
give off dangerous radiation	危険な放射線を出す
a log cabin	丸太小屋
reach consensus on the issue	その問題て?合意に達する
match words with deeds	言葉と行動を一致させる
an old Chinese proverb	古い中国のことわさ?
Thank you for the compliment.	ほめ言葉をありか?とう
watch the candle flame	ろうそくの炎を見つめる
our tenth wedding anniversary	10回目の結婚記念日
Follow your conscience.	自分の良心に従え
an expedition to the moon	月世界探検
produce offspring	子孫をつくる
my monthly allowance	僕の毎月のこつ?かい
a newspaper headline	新聞の大見出し
sign a peace treaty	平和条約に署名する
a historical monument	歴史的な記念碑
a worm in the apple	リンコ?の中の虫
a good remedy for colds	風邪のよい治療法(薬)
a 20-volume encyclopedia	20巻の百科事典
catch a glimpse of her face	彼女の顔か?ちらりと見える
school personnel	学校の職員
the triumph of science	科学の勝利
"reading, writing , and arithmetic"	読み書き算数
people with low self-esteem	自尊心の低い人々
get lost in the thick fog	濃い霧の中て?迷う
the odds of getting cancer	カ?ンになる可能性
a society in chaos	混沌とした社会
control the destiny of mankind	人類の運命を支配する
a disk five inches in diameter	直径5インチのテ?ィスク
the green meadow	緑の牧草地
a souvenir shop in Hong Kong	香港のみやけ?物屋
walk along a mountain trail	山の小道を歩く
a ratio of 10 to 1	10対1の比率
cut off his head with the sword	剣て?彼の首をはねる
outside the realm of science	科学の領域外
anti-American sentiment	反米感情
share household chores	家庭の雑用を分担する
be treated with courtesy	礼儀正しい扱いを受ける
the New York City mayor	ニューヨーク市長
Queen Victoria's reign	ウ?ィクトリア女王の統治
a big black trash bag	大きな黒いコ?ミ袋
gain wealth and prestige	富と名声を手に入れる
the top of the hierarchy	階級制度の頂点
explore the vast wilderness	広大な荒野を探検する
the earth's orbit around the sun	太陽を回る地球の軌道
a bias against women	女性に対する偏見
the Republic of Ireland	アイルラント?共和国
This house is a bargain.	この家は掘り出し物た?。値引き品動交渉する(+with)
contempt for the poor	貧しい人々に対する軽蔑
a fragment of blue glass	青いカ?ラスの破片
the Andromeda Galaxy	アント?ロメタ?星雲
sit on mother's lap	母親のひさ?の上に座る
a cool breeze from the sea	海からの涼しいそよ風
faster than a bullet	弾丸よりも速く
the safety of pedestrians	歩行者の安全
a conversation full of wit	機知に富んた?会話
a nuisance to others	他人の迷惑
meet the criteria for safety	安全基準を満たす
test the hypothesis	仮説を検証する
my glory days	我か?栄光の日々
punishment for sin	罪に対する罰
the British Navy	英国海軍
a movie script	映画の台本
the old-age pension	老齢年金
cut timber	材木を切る
a surplus of food	食糧の余剰
add moisture to the skin	肌に水分を与える
