"follow","〜（の後）に続く\r\n〈指示・方針など〉\r\nに従う","follow her advice\r\n彼女の助言に従う"
"source","源\r\n出所","a source of information\r\n情報源"
"disease","病","heart disease\r\n心臓病"
"shape","形\r\n［動］〜を形作る","the shape of her nose\r\n彼女の鼻の形"
"advantage","利点\r\n有利","the advantage of being tall\r\n背が高いという利点"
"method"," 方法","a method of teaching English\r\n英語を教える方法"
"habit","習慣\r\nくせ","form the habit of getting up early\r\n早起きの習慣がつく"
"detail","細部\r\n詳細","remember details of the story\r\n話を細部まで覚えている"
"distance","距離","make a long-distance call\r\n長距離電話をかける"
"crowd","群衆\r\n［動］群がる","gather a large crowd\r\n大群衆を集める"
"clothes","服\r\n衣類(複数あつかい)\r\n(=clothing)","Change your clothes.\r\n服を着替えなさい"
"instance","例(=example)","the best known instance\r\n最もよく知られた例"
"desire","願望\r\n欲望\r\n［動］〜を望む","a strong desire to be a singer\r\n歌手になりたいという強い願望"
"standard","水準\r\n基準，標準\r\n［形］標準の","the standard of living\r\n生活水準"
"technology","科学技術","high technology\r\n高度な科学技術(ハイテク)"
"generation","世代","the leader of the next generation\r\n次世代の指導者"
"responsibility","責任","take responsibility for the accident\r\n事故の責任をとる"
"task","仕事","a difficult task\r\n難しい仕事"
"experiment","実験\r\n［動］実験する","experiments with animals\r\n動物を用いる実験"
"evidence"," 証拠","evidence of life on Mars\r\n火星に生物がいるという証拠"
"decade","10年","only a decade ago\r\nほんの10年前に"
"loss","損失","a loss of $5,000\r\n5,000ドルの損失"
"aspect","側面","unique aspects of Japanese culture\r\n日本文化のユニークな側面"
"theory","理論","the theory of relativity\r\n相対性理論"
"statement","記述\r\n言葉；声明","read the following statement\r\n次の記述を読む"
"professor","教授","a professor at Boston University\r\nボストン大学の教授"
"function","機能\r\n役割\r\n［動］機能する，働く","the basic functions of a computer\r\nコンピュータの基本的機能"
"surface","表面\r\n［形］表面の，\r\nうわべの","the surface of the earth\r\n地球の表面"
"factor","要因\r\n要素","the main factors in his success\r\n彼の成功の主な要因"
"organization","組織\r\n機関，団体","an international organization\r\n国際的な組織"
"policy","政策\r\n方針","Japan""s foreign policy\r\n日本の外交政策"
"resource","資源\r\n財源；手段","natural resources\r\n天然資源"
"contrast","対比\r\n差異\r\n［動］対照をなす","the contrast between light and shadow\r\n光と影の対比"
"brain","脳\r\n知能","brain death\r\n脳死"
"customer","客","attract customers to the store\r\n店に客を引きつける"
"goods","商品\r\n品物(=merchandise，\r\ncommodity)","buying and selling goods\r\n商品の売り買い"
"creature","動物(=animal)","a creature from space\r\n宇宙から来た生き物"
"structure","構造","changes in social structure\r\n社会構造の変化"
"tradition","伝統\r\n慣習；言い伝え","history and tradition\r\n歴史と伝統"
"weight","体重\r\n重さ","lose weight\r\n体重を減らす"
"labor","労働\r\n骨折り，努力","do hard labor\r\n重労働を行う"
"citizen","市民\r\n国民","the average U.S. citizen\r\n平均的アメリカ市民"
"impression","印象","make a deep impression on me\r\n私に深い印象を与える"
"species","種","many species of birds\r\n多くの種の鳥"
"career","経歴\r\n(専門的な)職業","a long career as an actress\r\n女優としての長い経歴"
"concept","概念","the concept of time\r\n時間の概念"
"passenger","乗客","train passengers\r\n列車の乗客"
"crime","犯罪","commit a crime\r\n罪を犯す"
"income","所得\r\n収入","low-income families\r\n低所得の家族"
"temperature","気温\r\n温度，体温","the average temperature in Paris\r\nパリの平均気温"
"majority","大多数","the majority of students\r\n大多数の学生"
"origin","起源\r\n生まれ，出身","the origin of language\r\n言語の起源"
"literature","文学","study English literature\r\n英文学を研究する"
"equipment","設備\r\n用具，機器","a plane with high-tech equipment\r\nハイテク装備の飛行機"
"stranger","見知らぬ人\r\n(場所に)不案内な人","talk to a stranger\r\n見知らぬ人に話しかける"
"strength","強さ","strength and weakness\r\n強さと弱さ"
"planet","惑星","the planet Earth\r\n地球という惑星"
"circumstances","状況\r\n周囲の事情","Circumstances have changed.\r\n状況が変わった"
"religion","宗教","science and religion\r\n科学と宗教"
"pollution","汚染","environmental pollution\r\n環境汚染"
"wealth"," 富\r\n財産(=riches)","wealth and power\r\n富と権力"
"civilization","文明","Western civilization\r\n西洋文明"
"profit","もうけ\r\n利益","make a $2 million profit\r\n200万ドルのもうけを得る"
"technique","技術","the technique of film-making\r\n映画作りの技術"
"emotion","感情","express emotions\r\n感情を表現する"
"phenomenon","現象","a natural phenomenon\r\n自然現象"
"cancer","ガン","die of skin cancer\r\n皮膚ガンで死ぬ"
"bottom","底","the bottom of the sea\r\n海の底"
"billion","十億","6 billion people\r\n六十億の人々"
"status","地位\r\n身分","the social status of women\r\n女性の社会的地位"
"youth","若者\r\n青年期；若さ","modern youth\r\n現代の若者"
"confidence"," 自信\r\n信頼","have confidence in my ability\r\n自分の能力に自信がある"
"edge","周辺\r\n縁；(町などの)はずれ","the edge of the Pacific Ocean\r\n太平洋の周辺"
"household","家庭","household goods\r\n家庭用品"
"scholar","学者","a great scholar\r\n偉大な学者"
"survey","調査\r\n［動］〜を調査する","according to a new survey\r\n新しい調査によると"
"vocabulary","語彙","a vocabulary of 5,000 words\r\n5000語の語彙"
"enemy","敵","a natural enemy\r\n天敵"
"construction","建設","a bridge under construction\r\n建設中の橋"
"lecture","講義\r\n［動］(〜に)\r\n講義をする","the lecture on history\r\n歴史に関する講義"
"instruction","指示\r\n教育","follow his instructions\r\n彼の指示に従う"
"crisis","危機","get over the economic crisis\r\n経済危機を乗り越える"
"instrument","器具\r\n道具，楽器","a medical instrument\r\n医療器具"
"crop","作物\r\n収穫","grow various crops\r\nさまざまな作物を育てる"
"weapon","兵器\r\n武器","a laser weapon\r\nレーザー兵器"
"device","装置\r\n手段，工夫","an electronic device\r\n電子装置"
"path","道\r\n進路；軌道","the path to victory\r\n勝利への道"
"earthquake","地震","an earthquake of magnitude 8\r\nマグニチュード8の地震"
"stream","小川\r\n流れ\r\n［動］流れる","a clear mountain stream\r\nきれいな山の小川"
"notion","概念\r\n考え(=idea)","the notion of freedom\r\n自由の概念"
"substance","物質","a dangerous substance\r\n危険な物質"
"victim","犠牲者\r\n被害者；いけにえ","victims of the war\r\n戦争の犠牲者"
"fuel","燃料","fill the fuel tank\r\n燃料タンクを満たす"
"ancestor","祖先","the ancestors of modern humans\r\n今の人類の祖先"
"soil","土壌\r\n土，土地","the rich soil of the Nile River\r\nナイル川の豊かな土壌"
"debate","討論\r\n［動］(〜を)\r\n討論する","a debate on education\r\n教育についての討論"
"violence","暴力\r\n激しさ","violence on TV\r\nテレビの暴力"
"colleague","同僚","my friends and colleagues\r\n私の友人と同僚"
"philosophy","哲学\r\n人生観","his philosophy of life\r\n彼の人生哲学"
"analysis","分析","analysis of DNA\r\nDNAの分析"
"universe","宇宙\r\n世界","stars in the universe\r\n宇宙の星"
"electricity","電気","a machine run by electricity\r\n電気で動く機械"
"insect","昆虫","social insects like ants\r\nアリのような社会性昆虫"
"disaster","災害\r\n惨事，災難","a terrible natural disaster\r\n恐ろしい自然災害"
"storm","嵐","a heavy storm\r\n激しい嵐"
"plenty","(plenty of A)十分なA\r\n［肯定文で］たくさん,\r\n多数，多量","have plenty of time\r\n十分な時間がある"
"agriculture","農業","the campaign to plant one million trees\r\n100万本の樹を植える運動"
"gene","遺伝子","the gene for eye color\r\n目の色を決める遺伝子"
"advertising","広告\r\n宣伝活動","tobacco advertising\r\nたばこの広告"
"carbon","炭素","carbon dioxicide\r\n二酸化炭素"
"infant","幼児","the mother-infant relationship\r\n母親と幼児の関係"
"evolution","進化","human evolution\r\n人類の進化"
"cell","細胞\r\n電池","destroy cancer cells\r\nガン細胞を破壊する"
"aid","援助\r\n(=help,support)\r\n［動］〜を援助する","world affairs\r\n世界情勢"
"consequence","結果(=result)","a necessary consequence\r\n必然的結果(=result)"
"talent","才能\r\n才能のある人","have musical talent\r\n音楽の才能がある"
"common","共通の\r\n普通の","a common language\r\n共通の言語"
"public","公の","No Smoking in Public Places.\r\n公共の場では禁煙"
"likely","ありそうな,\r\n〜する可能性が高い","He is likely to win.\r\n彼が勝つ可能性が高い"
"serious","深刻な","serious social problems\r\n深刻な社会問題"
"particular","ある特定の；特有の","a particular character\r\n特有の性質"
"available","手に入る，利用できる","information available to everyone\r\nみんなに利用できる情報"
"local","その土地の","a local television station\r\n地方のテレビ局"
"ready","用意ができた\r\n(be ready to V）進んでVする\r\n(=be willing to V)","I am ready to start.\r\n私は出発の用意ができている"
"correct","正しい","the correct answer\r\n正しい答え"
"familiar","よく知られた\r\n（人が）熟知している，\r\nくわしい","be familiar with Japanese culture\r\n日本の文化にくわしい"
"physical","身体の，肉体の\r\n物理的な","physical beauty\r\n肉体美"
"worth","(be worth A)\r\nAの価値がある","The book is worth reading.\r\nその本は読む価値がある"
"involved","(be involved in A)\r\nAに関係している,\r\n参加している","be involved in the problem\r\nその問題にかかわっている"
"equal"," 平等な","All men are created equal.\r\n全ての人は平等に作られている。"
"private","個人の，私的な","her private life\r\n彼女の私生活"
"obvious","明白な","an obvious mistake\r\n明白な間違い"
"native","母国の","a native language\r\n母国語"
"complex","複雑な","a complex society\r\n複雑な社会"
"willing","(be willing to V)\r\n進んで［喜んで］Vする","I am willing to help her.\r\n喜んで彼女を助けるつもりだ"
"current","最新の","the current international situation\r\n今日の国際状況"
"male","男の","male workers\r\n男性の労働者"
"proper","適切な","the proper use of words\r\n言葉の適切な使い方"
"capable","〜する能力がある","He is capable of doing the job.\r\n彼はその仕事をする能力がある"
"independent","独立した","He is independent of his parents.\r\n彼は親から独立している。"
"positive","積極的な","positive thinking\r\n積極的な考え方"
"pleasant","〈人にとって〉楽しい","a pleasant experience\r\n楽しい経験"
"significant","重要な","a significant difference\r\n重要な違い"
"former","前の","the former President\r\n前大統領"
"chemical","化学的な","a chemical change\r\n化学変化"
"upset","〈人が〉動揺している","be upset by the accident\r\n事故で動揺している"
"previous","（時間・順序で）前の","from the previous year\r\n前の年から"
"global","世界的な","global warming\r\n地球の温暖化"
"specific","特定の","a specific individual\r\n特定の個人"
"conscious","意識している","health-conscious Americans\r\n健康を意識するアメリカの人々"
"superior","よりすぐれている","be superior to others\r\n他の人よりすぐれている"
"efficient","効率がいい","an efficient use of energy\r\n効率のよいエネルギーの使い方"
"fundamental","基本的な","the fundamental human rights\r\n基本的人権"
"narrow","狭い","a narrow street\r\n狭い道"
"reasonable","理にかなった\r\n（値段が）手ごろな","a reasonable explanation\r\n理にかなった説明"
"nervous","神経質な，不安な","feel nervous about the future\r\n将来のことで不安になる"
"alike","似ている","The brothers look alike.\r\nその兄弟は似ている"
"domestic","家庭の\r\n国内の","America""s domestic problems\r\nアメリカの国内問題"
"negative","否定の","a negative answer\r\n否定的な答"
"moral","道徳的な","make a moral judgement\r\n道徳的な判断をする"
"eager","熱心な","be eager to study in the U.S.\r\nアメリカ留学を熱望する"
"remarkable","すばらしい","accomplish a remarkable feat\r\n素晴しい偉業をなしとげる"
"evil","（道徳的に）悪い","drive away evil spirits\r\n悪い霊を追い払う"
"awake","目を覚まして","stay awake all night\r\n夜通し目が覚めている"
"aged","年老いた","his aged parents\r\n彼の年老いた父母"
"anxious","（未知のことを）\r\n心配して\r\n切望して","I am anxious about your health.\r\n君の健康が心配だ"
"thin","薄い","walk on thin ice\r\n薄い氷の上を歩く"
"nuclear","核の，原子力の","nuclear energy\r\n原子力エネルギー"
"legal"," 合法の，法律の","the British legal system\r\nイギリスの法律の制度"
"curious","好奇心が強い","be curious about everything\r\n何にでも好奇心を持つ"
"calm","冷静な","Always keep calm.\r\nつねに冷静でいなさい"
"tough","たくましい\r\n骨の折れる","a tough boxer\r\nたくましいボクサー"
"civil","一般市民の","civil rights\r\n公民権"
"actually","実は","He looks happy, but actually he is sad.\r\n彼はうれしそうだが実は悲しいのだ"
"nearly","ほとんど","nearly 30 years ago\r\n30年近く前に"
"therefore","それゆえに","The car is small and therefore cheap.\r\nその車は小さい。それゆえ、安い"
"exactly"," 正確に","at exactly the same time\r\nぴったり同時に"
"possibly","ひょっとすると\r\n(cannot possibly V)\r\nどうしてもVできない","He may possibly come.\r\nひょっとすると彼は来るかもしれない"
"contrary","反対に","contrary to expectations\r\n予想に反して"
"occasionally","時々","I occasionally go to the theater.\r\n私はたまに芝居を見に行く"
"somehow","どういうわけか，\r\nなぜか","Somehow I feet lonely.\r\nなぜかさびしい"
"seldom","めったに…ない\r\n(=hardly ever)","I seldom see him.\r\n彼に会うことはめったにない"
"thus","それゆえ\r\nそのように","This is smaller and thus cheaper.\r\nこのほうが小さく、したがっで安い"
"whereas","〜だか一方","The British say 'lift', whereas American say 'elevator.'\r\nイギリス人は「リフト」と言うが、アメリカ人は「エレベーター」という"
"besides","〜に加えて","Besides being rich, he is kind.\r\n彼は金持ちの上に優しい"
"general","一般的な\r\n全体的な","a general opinion\r\n一般的な意見"
"various","さまざまな\r\n(=varied)","various kinds of flowers\r\nさまざまな種類の花"
"similar","(be similar to A)\r\nAに似ている","be similar to each other\r\nお互いに似ている"
"complete","完全な\r\n［動］〜を完成する","a complete failure\r\n完全な失敗"
"recent","最近の","recent news\r\n最近のニュース"
"expensive","高価な\r\n金のかかる\r\n(=costly)","very expensive wine\r\n非常に高価なワイン"
"political","政治的な","a political leader\r\n政治的な指導者"
"aware","(be aware of A)\r\nAに気づいている，\r\n意識している(=conscious)","be aware of the danger\r\n危険に気づいている"
"ancient","古代の","ancient Greece and Rome\r\n古代のギリシャとローマ"
"medical","医学の\r\n医療の","a medical study\r\n医学の研究"
"essential","不可欠な\r\n本質的な","Water is essential to life.\r\n水は生命に不可欠だ。"
"huge","巨大な\r\n莫大な","a huge city\r\n巨大な都市"
"terrible","ひどい\r\n恐ろしい","a terrible accident\r\nひどい事故"
"practical","実用的な\r\n現実的な","practical English\r\n実用的な英語"
"entire","全体の\r\n完全な(=whole)","the entire world\r\n全世界"
"favorite","いちばん好きな\r\n［名］お気に入りの物\r\n［人］","her favorite film\r\n彼女がいちばん好きな映画"
"comfortable","快適な\r\nくつろいだ(+with)","enjoy a comfortable life\r\n快適な生活を楽しむ"
"active","積極的な\r\n活動的な","lead an active life\r\n活動的な生活をする"
"typical","典型的な","a typical American family\r\n典型的なアメリカの家族"
"ideal","理想的な\r\n［名］理想","an ideal body shape\r\n理想的な体型"
"vast","広大な\r\nばく大な\r\n(=large)","the vast land of Russia\r\nロシアの広大な土地"
"appropriate","適切な\r\n(=suitable)","the most appropriate title\r\n最も適切な題名"
"empty","からの\r\n［動］〜をからにする","an empty bottle\r\nからっぽのビン"
"rapid","急速な","rapid economic growth\r\n急速な経済成長"
"mental","精神の\r\n知能の","a mental illness\r\n精神の病"
"excellent","すばらしい\r\n優秀な","an excellent idea\r\nすばらしいアイデア"
"convenient","つごうがいい\r\n便利な","a convenient place to park\r\n駐車するのに便利な場所"
"potential","潜在的な\r\n可能性のある","potential danger\r\n潜在的な危険"
"financial","財政的な","financial support from the U.S.\r\nアメリカからの財政的援助"
"enormous","ばく大な","an enormous amount of damage\r\n莫大な額の損害"
"rare","珍しい","a rare stamp\r\n珍しい切手"
"complicated","複雑な\r\n(=complex)","a complicated puzzle\r\n複雑なパズル"
"tiny","ちっちゃな\r\nごく小さい","a tiny kitten\r\nちっちゃな子猫"
"considerable","かなりの","a considerable distance\r\nかなりの距離"
"sensitive","敏感な","Her skin is sensitive to sunlight.\r\n彼女の肌は日光に敏感だ"
"intellectual","知的な\r\n［名］知識人","high intellectual ability\r\n高度な知的能力"
"broad","広い\r\n(=wide)","in a broad sense\r\nはば広い意味では"
"polite","礼儀正しい","be polite to ladies\r\n女性に対して礼儀正しい"
"accurate","正確な","accurate information\r\n正確な情報"
"sharp","急激な\r\n鋭い","a sharp rise in prices\r\n物価の急激な上昇"
"rude","失礼な\r\n無作法な\r\n(=impolite)","rude behavior\r\n失礼な振る舞い"
"sufficient","十分な\r\n(=enough)","pay sufficient attention\r\n十分な注意を払う"
"urban","都会の","urban life\r\n都会の暮らし"
"widespread","広まっている","widespread use of drugs\r\n広まっているドラッグの使用"
"primitive","原始的な\r\n未開の","a primitive society\r\n原始的な社会"
"permanent","永久的な","permanent teeth\r\n永久歯"
"elderly","年配の","the care of elderly people\r\n高齢者のケア"
"severe","厳しい\r\n〈痛みなどが〉ひどい","severe winter weather\r\n厳しい冬の天候"
"brief","簡潔な\r\n短い(=short)","a brief explanation\r\n簡潔な説明"
"slight","少しの\r\nわずかな","without the slightest doubt\r\n少しの疑いもなく"
"latest","最新の","the latest news from China\r\n中国からの最新のニュース"
"military","軍事的な\r\n［名］軍隊，軍部","military aid to Israel\r\nイスラエルへの軍事的援助"
"strict","厳しい","strict rules\r\n厳しい規則"
"solid","固体の\r\nがっしりした\r\n［名］固体","a solid state\r\n固体の状態"
"stupid","ばかな","say stupid things\r\n馬鹿なことをいう"
"biological","生物の\r\n生物学的な","biological weapons\r\n生物兵器"
"probably","おそらく","Probably he won""t come.\r\nおそらく彼は来ないだろう"
"hardly","ほとんど〜ない","I hardly know Bill\r\nビルのことはほとんど知らない"
"immediately","すぐに","start work immediately\r\nただちに仕事にかかる"
"eventually","ついに\r\n結局(=finally)","eventually find the answer\r\nついに答を見つける"
"frequently","しばしば\r\n(=often)","a frequently used word\r\nしばしば使われる言葉"
"extremely","非常に","an extremely difficult problem\r\n非常に難しい問題"
"gradually","だんだん","gradually become colder\r\nだんだん冷たくなる"
"merely","単に\r\n(=only；just)","It is merely bad luck.\r\n単に運が悪かっただけだ"
"nevertheless","それにもかかわらず","He is rich; nevertheless he is unhappy.\r\n彼は金持ちだが、それにもかかわらず、不幸だ"
"moreover","その上","He""s kind; moreover, he""s strong.\r\n彼は親切で、その上強い"
"relatively","比較的\r\n相対的に","relatively few people\r\n比較的少数の人々"
"apparently","一見\r\n見たところでは","an apparently simple question\r\n一見簡単な問題"
"absolutely","絶対に\r\n全く","It""s absolutely impossible\r\n絶対に不可能だ"
"largely","主に","largely because of the problem\r\n主にその問題のせいで"
"mostly","大部分は\r\nたいていは","The class is mostly Japanese.\r\nクラスの大部分は日本人だ"
"somewhat","多少","somewhat better than last year\r\n去年より多少良い"
"necessarily","必ずしも\r\n［否定文で］","not necessarily true\r\n必ずしも本当でない"
"despite","にもかかわらず","He lost despite his efforts.\r\n努力にもかかわらず彼は負けた"
